# Creado por Alejandro Venegas Robles. En caso de incidencias, contactar con alejandro2196vr@gmail.com
TIPO;TERMINOS_BUSQUEDA;ALERTA_CDI;TEXTO_NORMATIVO;REQUIERE_ARBOL
Diagnostico;acidosis lactica|hiperlactacidemia severa|slt|sindrome de lisis tumoral|tormenta tiroidea|crisis tirotoxica|coma mixedematoso;Entidades metabólicas de severidad extrema. Tienen códigos independientes que multiplican la complejidad (SOI 3 o 4).;[Acidosis Láctica / Síndrome de Lisis Tumoral / Tormenta Tiroidea / Coma Mixedematoso].;TRUE
Diagnostico;falla hepatica aguda|insuficiencia hepatica aguda|fha|aclf|fallo hepatico fulminante;Evite 'empeoramiento de enzimas'. Especifique si existe o no antecedente de hepatopatía crónica para el diagnóstico de ACLF.;[Insuficiencia Hepática Aguda (FHA) / Insuficiencia Hepática Aguda sobre Crónica (ACLF)].;TRUE
Diagnostico;isquemia mesenterica|infarto intestinal|isquemia intestinal;Diagnóstico muy complejo. Especifique si la isquemia mesentérica es de intestino delgado o grueso.;Isquemia mesentérica aguda de intestino [delgado / grueso].;TRUE
Diagnostico;status epileptico|estado epileptico|estatus convulsivo|edema cerebral|herniacion cerebral|enclavamiento cerebral;Descriptores neurocríticos de inminencia de muerte que elevan el Riesgo de Mortalidad (ROM). Documentarlos explícitamente.;[Status epiléptico / Edema cerebral / Herniación del encéfalo] secundario a [Etiología].;TRUE
Diagnostico;nefritis lupica|nefropatia lupica|afectacion renal lupus|brote de nefritis lupica|recaida nefritis lupica|empeoramiento funcion renal lupus|brote lupico renal|glomerulonefritis lupica activa|sedimento activo lupus;Máxima severidad. Especifique la clase histológica (I-VI) si se dispone de biopsia y tipifique el grado de insuficiencia renal aguda o crónica.;Nefritis lúpica clase [I-VI] con [Fracaso Renal Agudo / ERC estadio X].;TRUE
Diagnostico;neurolupus|lupus neurologico|psicosis lupica|mielitis lupica|cerebritis lupica|convulsiones lupus|brote de neurolupus|psicosis lupica aguda|brote neurologico lupus|estado confusional lupico;El término 'neurolupus' es informal. Defina la manifestación neuropsiquiátrica exacta (cerebritis, mielitis, psicosis, convulsiones) para la CIE-10.;Lupus eritematoso sistémico con afectación del sistema nervioso central tipo [Psicosis / Convulsiones / Mielitis transversa / Cerebritis].;TRUE
Diagnostico;neumonitis lupica|hemorragia alveolar lupus|afectacion pulmonar lupus|brote pulmonar lupico|capilaritis lupica|neumonitis lupica aguda|pulmon encogido;Complicación potencialmente letal. Diferencie neumonitis aguda de hemorragia alveolar difusa (capilaritis).;Lupus eritematoso sistémico con afectación pulmonar tipo [Neumonitis aguda / Hemorragia alveolar difusa].;TRUE
Diagnostico;brote lupico|brote de lupus|les|lupus eritematoso sistemico|lupus|lupus eritematoso|enfermedad lupica|lupus articular|lupus cutaneo|recaida lupica|lupus activo|reactivacion lupus|lupus eritematoso diseminado|brote poliarticular lupico;No use 'brote' de forma aislada. Si la afectación es menor (cutáneo-articular), especifíquelo. Si hay daño orgánico mayor, use el término de dicho órgano.;Lupus eritematoso sistémico con afectación [Articular / Cutánea / Hematológica].;TRUE
Diagnostico;saf|sindrome antifosfolipido|saf catastrofico|anticuerpos antifosfolipidos|brote de saf|trombosis por saf|microangiopatia trombotica saf|sindrome antifosfolipidico|caps|evento trombotico por saf;Diferencie SAF primario de secundario (asociado a LES). Si cursa con fracaso multiorgánico microtrombótico, documente explícitamente 'SAF Catastrófico'.;Síndrome antifosfolípido [Primario / Secundario] con [Trombosis venosa / Trombosis arterial / SAF Catastrófico].;TRUE
Diagnostico;crisis renal esclerodermica|fallo renal esclerodermia|crisis esclerodermica|brote renal esclerodermia|hta maligna esclerodermia;Emergencia médica. Documente explícitamente el daño renal asociado y la emergencia hipertensiva si coexiste.;Crisis renal esclerodérmica con fracaso renal agudo [y emergencia hipertensiva].;FALSE
Diagnostico;epi esclerodermia|afectacion pulmonar esclerodermia|hap esclerodermia|empeoramiento epi esclerodermia|fibrosis pulmonar esclerodermia|brote alveolitis esclerodermia|cor pulmonale esclerodermia;Separe la enfermedad pulmonar intersticial (EPI) de la hipertensión arterial pulmonar (HAP), ya que modifican el pronóstico y el GDR.;Esclerosis sistémica con [Enfermedad Pulmonar Intersticial / Hipertensión Arterial Pulmonar].;TRUE
Diagnostico;esclerodermia|esclerosis sistemica|crest|brote cutaneo esclerodermia|esclerosis sistemica progresiva|crisis raynaud severa;Para ingresos basales, especifique el subtipo dermatológico si no hay crisis visceral aguda.;Esclerosis sistémica [Cutánea difusa / Cutánea limitada].;TRUE
Diagnostico;sindrome antisintetasa|antisintetasa|jo1|brote antisintetasa|recaida sindrome antisintetasa|jo-1 positivo activo;Entidad de alta morbimortalidad. Asocie siempre la presencia de EPI o miopatía severa.;Síndrome Antisintetasa con [Enfermedad Pulmonar Intersticial / Miopatía inflamatoria].;TRUE
Diagnostico;miositis|dermatomiositis|polimiositis|miopatia inflamatoria|miopatia necrotizante|brote de miositis|recaida polimiositis|brote dermatomiositis|debilidad muscular miositis|empeoramiento miopatia inflamatoria|miopatia necrotizante activa;El término miopatía es inespecífico. Defina el subtipo y la afectación extramuscular (bulbar, respiratoria).;[Dermatomiositis / Polimiositis / Miopatía necrotizante] con afectación [Muscular proximal / Bulbar / Respiratoria].;TRUE
Diagnostico;sjogren|sindrome de sjogren|sicca|sjogren extraglandular|neuropatia sjogren|epi sjogren|nefritis sjogren|brote sistemico sjogren|vasculitis por sjogren|brote extraglandular sjogren;Diferencie primario de secundario. Documente si existe afectación extraglandular (neurológica, pulmonar, renal) para evitar el código de sicca simple.;Síndrome de Sjögren [Primario / Secundario] con afectación extraglandular tipo [Neuropatía periférica / EPI / Nefritis].;TRUE
Diagnostico;wegener|gpa|granulomatosis con poliangeitis|brote de wegener|recaida wegener|gnrp wegener|brote de gpa;Use la nomenclatura actual (GPA) y detalle la afectación destructiva ORL, pulmonar o renal.;Granulomatosis con poliangeítis (GPA) con afectación [Renal / Pulmonar / Vía aérea superior].;TRUE
Diagnostico;pam|poliangeitis microscopica|churg strauss|egpa|vasculitis anca|brote pam|gnrp pam|brote vasculitis anca|recaida vasculitis|brote de vasculitis|hemorragia alveolar vasculitis|gnrp;Tipifique el tipo de vasculitis ANCA y el órgano diana en fracaso agudo.;Vasculitis asociada a ANCA tipo [PAM / EGPA] con afectación [Renal / Pulmonar / Neurológica].;TRUE
Diagnostico;arteritis de celulas gigantes|arteritis de la temporal|recaida arteritis de la temporal|brote isquemico celulas gigantes|polimialgia reumatica activa;Especifique si existen complicaciones isquémicas agudas (neuropatía óptica isquémica, claudicación mandibular).;Arteritis de Células Gigantes [con / sin] neuropatía óptica isquémica.;TRUE
Diagnostico;insuficiencia cardiaca|ic|falla cardiaca|descompensacion cardiaca|anasarca cardiaca|cor pulmonale agudo|congestion venosa|ic descompensada;Requiere 3 apellidos obligatorios: Temporalidad, Fracción de eyección y Etiología. No use 'descompensación'.;Insuficiencia cardiaca [Aguda / Crónica / Crónica agudizada] con fracción de eyección [Sistólica / Diastólica / Combinada] secundaria a [Etiología].;TRUE
Diagnostico;endocarditis|infeccion valvular|endocarditis infecciosa|ei|endocarditis bacteriana|vegetacion valvular infecciosa;Diagnóstico de alta complejidad. Requiere especificar agudeza, válvula afectada (nativa/protésica) y microorganismo.;Endocarditis [Aguda / Subaguda] de válvula [Aórtica / Mitral / Tricúspide] [Nativa / Protésica] por [Microorganismo].;TRUE
Diagnostico;fibrilacion auricular|fa|arritmia|fa rapida|arritmia completa por fa;Es imperativo especificar el patrón temporal de la arritmia para una correcta asignación de comorbilidad.;Fibrilación auricular [Paroxística / Persistente / Crónica-Permanente].;TRUE
Diagnostico;neumonia|infeccion respiratoria|bronconeumonia|ir|nac|nih|nnosocomial|bronconeumonia bilateral|condensacion pulmonar infecciosa;Evite 'Infección Respiratoria'. Asocie el patógeno causal (incluso empírico) y documente si hay insuficiencia respiratoria aguda.;Neumonía probable por [Germen], asociada a Insuficiencia Respiratoria Aguda [Hipoxémica / Hipercápnica].;TRUE
Diagnostico;epoc|exacerbacion epoc|agudizacion epoc|broncoespasmo|aepoc|epoc agudizado|broncoespasmo severo epoc;Documente 'EPOC con exacerbación aguda'. Evite 'broncoespasmo' como diagnóstico principal. Especifique si hay Cor pulmonale.;Enfermedad Pulmonar Obstructiva Crónica con exacerbación aguda [y Cor Pulmonale].;FALSE
Diagnostico;tep|tromboembolismo pulmonar|embolia pulmonar|tep masivo|tep submasivo|tromboembolismo pulmonar agudo|embolismo pulmonar|infarto pulmonar;Patología de altísima complejidad. Especifique si cursa con Cor Pulmonale agudo.;Tromboembolismo pulmonar agudo [con / sin] Cor Pulmonale agudo.;TRUE
Diagnostico;sepsis|bacteriemia|shock septico|infeccion grave|sospecha de sepsis|sepsis de origen|sepsis respiratoria|bacteriemia por;La palabra 'Sepsis' dispara el Nivel de Severidad (SOI). Si cumple criterios (qSOFA/SOFA), documente 'Sepsis de origen X' explícitamente.;Sepsis de origen [Urinario / Respiratorio / Biliar / Abdominal / Catéter / Desconocido].;TRUE
Diagnostico;itu|infeccion urinaria|bacteriuria|sepsis urinaria|urosepsis|pielonefritis aguda|pna|cistitis|prostatitis aguda|infeccion urinaria complicada;PELIGRO: 'Urosepsis' suele decodificarse como ITU genérica. Si hay afectación sistémica, use "Sepsis de origen urinario". Si no, especifique "Pielonefritis aguda".;[Sepsis de origen urinario / Pielonefritis aguda / Prostatitis aguda] secundaria a [Microorganismo].;TRUE
Diagnostico;celulitis|infeccion partes blandas|erisipela|dermoepidermitis|ipb|fascitis;Evite 'Celulitis' sin topografía. Documente la localización anatómica exacta para evitar un código residual.;Celulitis y absceso de [Miembro Inferior / Miembro Superior / Tronco] [Derecho / Izquierdo].;TRUE
Diagnostico;hta|hipertension|crisis hipertensiva|emergencia hipertensiva|urgencia hipertensiva|encefalopatia hipertensiva;La HTA esencial no eleva la severidad. Documente la afectación de órgano diana (Corazón/Riñón/Cerebro) para codificar cardiopatía o nefropatía hipertensiva.;Enfermedad [Cardíaca / Cardiorrenal / Renal] hipertensiva con [Insuficiencia Cardiaca / ERC estadio X].;TRUE
Diagnostico;daño renal|fracaso renal|ira|insuficiencia renal aguda|lra|lesion renal aguda|nta|necrosis tubular aguda|fallo renal agudo|fracaso renal oligurico;Documente 'Fracaso Renal Agudo'. Especifique 'Necrosis Tubular Aguda' si procede. Evite 'deterioro de la función renal'.;Fracaso Renal Agudo [secundario a Necrosis Tubular Aguda / prerrenal / obstructivo].;TRUE
Diagnostico;hiponatremia|hiperpotasemia|desequilibrio electrolitico|hiponatremia grave|hiperkaliemia|hipokaliemia|hiperpotasemia severa;No olvide codificar los trastornos iónicos severos si requirieron tratamiento, impactan en la complejidad del caso.;[Hiponatremia / Hiperpotasemia / Hipopotasemia] severa con necesidad de reposición activa.;TRUE
Diagnostico;diabetes descompensada|cad|ehh|cetoacidosis|hipoglucemia|cetoacidosis diabetica|estado hiperosmolar|coma diabetico|hipoglucemia severa;No use 'diabetes descompensada'. Especifique la complicación aguda exacta que motivó o complicó el ingreso.;Diabetes Mellitus tipo [1 / 2] con [Cetoacidosis / Estado Hiperosmolar / Hipoglucemia severa].;TRUE
Diagnostico;hemorragia digestiva|hda|hdb|melenas|rectorragia|sangrado digestivo|hematemesis|hematoquecia|ulcus sangrante;Melenas es un síntoma. Diagnostique la topografía y, si es posible, la etiología (varicosa vs no varicosa).;Hemorragia Digestiva [Alta / Baja] de origen [Varicoso / No Varicoso / Indeterminado].;TRUE
Diagnostico;cirrosis|hepatopatia|insuficiencia hepatica basica|descompensacion ascitica|ascitis a tension|encefalopatia portal|pbe|peritonitis bacteriana espontanea;La 'hepatopatía' es basal. Si hay descompensación, indíquelo explícitamente junto con sus manifestaciones (Ascitis, Encefalopatía, PBE).;Cirrosis hepática descompensada con [Ascitis / Encefalopatía hepática / Peritonitis Bacteriana Espontánea].;TRUE
Diagnostico;colecistitis|colangitis|patologia biliar|colecistitis aguda|piocolecisto|colangitis aguda|sepsis biliar;Diferencie claramente colecistitis de colangitis e indique si hay obstrucción.;[Colecistitis / Colangitis] aguda [con / sin] obstrucción biliar.;TRUE
Diagnostico;encefalopatia|bajo nivel de conciencia|estupor|coma|coma metabolico|encefalopatia uremica|encefalopatia hipercapnica|estupor metabolico;Evite usar 'bajo nivel de conciencia' (es un síntoma). Documente la etiología subyacente de la encefalopatía.;Encefalopatía [Metabólica / Hepática / Urémica / Tóxica / Hipóxica / Hipercápnica].;TRUE
Diagnostico;ictus|acv|accidente cerebrovascular|infarto cerebral|acv isquemico|acv hemorragico|hemorragia intraparenquimatosa|ait;La CIE-10 exige diferenciar entre isquémico y hemorrágico, y la arteria afectada si se conoce por neuroimagen.;Ictus [Isquémico / Hemorrágico] en territorio de arteria [Cerebral Media / Anterior / Posterior / Basilar].;TRUE
Diagnostico;delirium|sca|sindrome confusional|desorientacion|agitacion|sindrome confusional agudo|delirium tremens|agitacion psicomotriz|encefalopatia toxico-metabolica;Evite usar síntomas aislados como 'desorientación' o 'agitación'. Diagnostique la entidad orgánica: 'Delirium' o 'SCA'.;[Delirium / Síndrome Confusional Agudo] [Hipoactivo / Hiperactivo / Mixto].;TRUE
Diagnostico;desnutricion|malnutricion|malnutricion calorico-proteica|desnutricion severa;Impacto altísimo en el GDR. Especifique siempre el grado (Leve, Moderada, Severa calórico-proteica).;Desnutrición calórico-proteica [Leve / Moderada / Severa].;TRUE
Diagnostico;caquexia general|caquexia|sindrome consuntivo general|desgaste fisico severo;Diagnóstico de altísimo impacto nutricional (Código R64). Especifique siempre la enfermedad subyacente si se conoce.;Caquexia secundaria a [Enfermedad subyacente / Desconocida].;TRUE
Diagnostico;hipopituitarismo|caquexia pituitaria|enfermedad de simmonds|panhipopituitarismo|insuficiencia hipofisaria;Entidad endocrinológica severa (E23.0). Si asocia caquexia (Enfermedad de Simmonds), documéntelo explícitamente por su alto peso en el Casemix.;Hipopituitarismo con caquexia pituitaria (Enfermedad de Simmonds).;FALSE
Diagnostico;sindrome de emaciacion por vih|emaciacion vih|wasting syndrome vih|caquexia por vih|desnutricion vih;Complicación definitoria de SIDA (B22.2). Modifica drásticamente la categoría de complejidad del paciente infectado por VIH.;Síndrome de emaciación asociado a enfermedad por virus de la inmunodeficiencia humana (VIH).;FALSE
Diagnostico;marasmo nutricional|marasmo|desnutricion calorico-proteica severa con marasmo;La forma más grave de desnutrición calórica (E41). Suba la severidad clínica al máximo documentando el término 'Marasmo'.;Marasmo nutricional (Desnutrición calórico-proteica severa).;FALSE
Diagnostico;tumor maligno asociado con caquexia|caquexia tumoral|caquexia neoplastica|caquexia oncologica;No ponga solo 'caquexia' si el paciente tiene cáncer. 'Caquexia tumoral' tiene un código combinado específico de muy alta complejidad (C80.2).;Tumor maligno asociado con caquexia tumoral.;FALSE
Diagnostico;anemia|sindrome anemico|bajada de hb|anemia cronica|anemia severa|anemia sintomatica|anemia hemolitica|ahai|anemia ferropenica|sangrado activo;No use 'Anemia' inespecífica. Para la Unidad, clasifique la etiología etiopatogénica exacta.;Anemia [Hemolítica Autoinmune / Ferropénica / por Trastorno Crónico / Aplásica / Aguda Posthemorrágica].;TRUE
Diagnostico;ulceras por presion|upp|escara|ulcera sacra|ulcera de talon|escara necrotica;Las UPP son un medidor de calidad y complejidad. Es OBLIGATORIO especificar la localización anatómica exacta y el Estadio (I, II, III, IV o Inclasificable).;Úlcera por presión en [Localización anatómica] de estadio [I / II / III / IV / Inclasificable].;TRUE
Diagnostico;elevacion de troponinas|curva de troponinas|daño miocardico|iam tipo 2|infarto tipo 2|isquemia miocardica|troponinas positivas;Evite 'elevación de troponinas'. Si hay isquemia por desbalance demanda/aporte (ej. sepsis, anemia, FA rápida), diagnostique explícitamente 'Infarto Agudo de Miocardio Tipo 2'.;Infarto Agudo de Miocardio Tipo 2 secundario a [Sepsis / Anemia / Taquiarritmia / Hipoxemia].;TRUE
Diagnostico;pancitopenia|neutropenia|bajada de defensas|aplasia medular|citopenia|leucopenia|agranulocitosis;Documente la línea celular exacta afectada. Especifique si es secundaria a fármacos (quimioterapia, antibióticos) o a un proceso infeccioso/autoinmune.;[Pancitopenia / Neutropenia severa / Agranulocitosis] secundaria a [Fármaco / Infección / Etiología].;TRUE
Diagnostico;ileo paralitico|obstruccion intestinal|suboclusion intestinal|ileo adinamico|oclusion intestinal;No lo deje solo en la evolución clínica. Páselo a diagnósticos al alta, indicando si es íleo paralítico (metabólico/farmacológico) u obstrucción mecánica.;[Íleo paralítico / Obstrucción intestinal mecánica] secundaria a [Causa].;TRUE
Diagnostico;infeccion de via|infeccion de cateter|bacteriemia asociada a cateter|brc|cautin|sepsis por via;Requiere un código específico de complicación de dispositivo. Especifique siempre el microorganismo y el tipo de vía anatómica (CVC, PICC, periférica).;Infección del torrente sanguíneo asociada a catéter venoso [Central / Periférico] por [Germen].;TRUE
Diagnostico;obesidad morbida|obesidad severa|imc mayor 40|obesidad extrema|gran obesidad;La obesidad mórbida (IMC > 40) es una comorbilidad basal mayor que justifica el aumento de recursos y estancias de enfermería. Documente siempre el IMC.;Obesidad mórbida con Índice de Masa Corporal (IMC) mayor de 40.;FALSE
Diagnostico;abstinencia alcoholica|delirium tremens|mono de alcohol|deprivacion alcoholica|sindrome de abstinencia;Diferencie el síndrome de abstinencia simple del Delirium Tremens. Este último tiene un altísimo peso de severidad y mortalidad (ROM).;Síndrome de abstinencia alcohólica [con / sin] Delirium Tremens.;TRUE
Diagnostico;traqueobronquitis|bronquitis aguda|infeccion respiratoria de vias bajas|infeccion respiratoria no consolidativa|irva|catarro bronquial;Evite 'infección respiratoria' inespecífica (bajo peso). Si no hay neumonía, diagnostique 'Bronquitis aguda' o 'Traqueobronquitis' y asocie el virus/bacteria causal si se conoce.;[Bronquitis aguda / Traqueobronquitis aguda] secundaria a [Microorganismo / Virus no tipificado].;TRUE
Diagnostico;gripe|influenza|virus de la gripe|infeccion por virus influenza|gripe a|gripe b|sindrome gripal;No use 'síndrome gripal'. Especifique si cursa con neumonía u otras manifestaciones respiratorias severas, y tipifique el virus (A, B, no tipificado).;Gripe por virus [A / B / no identificado] con [Neumonía / Otras manifestaciones respiratorias / Manifestaciones digestivas].;TRUE
Diagnostico;vrs|virus respiratorio sincitial|infeccion por vrs|bronquiolitis por vrs|neumonia por vrs;En el adulto mayor, el VRS impacta significativamente la complejidad. Especifique si la infección se manifiesta como Neumonía o como Bronquitis aguda.;[Neumonía / Bronquitis aguda / Infección respiratoria baja] por Virus Respiratorio Sincitial (VRS).;TRUE
Diagnostico;covid|covid-19|sars-cov-2|infeccion por coronavirus|coronavirus|neumonia covid;El código U07.1 es mandatorio. Documente siempre la manifestación clínica severa principal asociada al virus para que el agrupador la capture.;Enfermedad por COVID-19 con [Neumonía viral / SDRA / Sin complicaciones respiratorias mayores].;TRUE
Diagnostico;fiebre|sindrome febril|fod|fiebre sin foco|fiebre de origen desconocido|pico febril;La fiebre aislada es un síntoma de muy bajo peso (Código R). Si no encuentra el foco, especifique SIEMPRE si ocurre en un paciente con inmunosupresión o neutropenia, lo cual eleva la severidad.;[Fiebre de origen desconocido / Fiebre en paciente inmunodeprimido / Fiebre en paciente neutropénico].;TRUE
Diagnostico;bacteriemia|hemocultivos positivos|bacteriemia primaria|bacteriemia sin foco;Una 'bacteriemia' es un hallazgo de laboratorio que no eleva el peso tanto como una infección clínica. Evalúe y documente 'Sepsis' si cumple criterios, o 'Bacteriemia primaria' si no hay foco evidente.;[Sepsis / Bacteriemia primaria] por [Microorganismo aislado en hemocultivos].;TRUE
Diagnostico;flebitis|flebitis infecciosa|tromboflebitis|infeccion de cateter periferico|infeccion de via periferica;No use solo 'flebitis'. Documente si es purulenta/infecciosa y asocie la bacteriemia si los hemocultivos son positivos.;Flebitis y tromboflebitis [purulenta / no purulenta] de vena [periférica / central] secundaria a catéter.;TRUE
Diagnostico;masa|nodulo|tumoracion|lesion ocupante de espacio|loe|neo|lesion sospechosa;Evite 'masa' o 'nódulo' (se codifican como hallazgos inespecíficos). Según su sospecha clínica/radiológica, diagnostique 'Neoplasia maligna' o 'Neoplasia de comportamiento incierto'.;Neoplasia [maligna / de comportamiento incierto] de [Órgano y localización anatómica exacta].;TRUE
Diagnostico;cancer|neoplasia|carcinoma|adenocarcinoma|tumor maligno|sarcoma;La CIE-10 exige máxima topografía. Especifique si el tumor es primario o secundario (metástasis), y la sublocalización anatómica (ej. lóbulo superior derecho, cabeza de páncreas).;Neoplasia maligna [Primaria / Secundaria] de [Sublocalización anatómica exacta].;TRUE
Diagnostico;metastasis|enfermedad diseminada|cancer extendido|afectacion metastasica|enfermedad metastasica;No use el término coloquial 'enfermedad diseminada'. Debe diagnosticar explícitamente los órganos diana de la metástasis como 'neoplasias malignas secundarias'.;Neoplasia maligna secundaria de [Hígado / Pulmón / Hueso / Cerebro / Ganglios linfáticos].;TRUE
Diagnostico;cancer de origen desconocido|cpo|tumor de origen desconocido|neoplasia de origen desconocido|origen primario desconocido;Entidad con código propio de altísima complejidad clínica (C80.1). Documéntelo de forma exacta junto a las localizaciones metastásicas conocidas.;Neoplasia maligna de origen primario desconocido con metástasis en [Órganos afectados].;FALSE
Diagnostico;insuficiencia respiratoria|ira|ir|insuficiencia respiratoria aguda|insuficiencia respiratoria cronica|insuficiencia respiratoria global|hipoxemia severa|hipercapnia severa|fracaso respiratorio|irca;Diagnóstico crítico para la severidad. Requiere 2 apellidos OBLIGATORIOS según gasometría/clínica: 1. Temporalidad (Aguda, Crónica, o Crónica agudizada). 2. Mecanismo (Hipoxémica o Hipercápnica).;Insuficiencia respiratoria [Aguda / Crónica / Crónica agudizada] tipo [Hipoxémica / Hipercápnica].;TRUE
Diagnostico;sindrome constitucional|sindrome consuntivo|astenia anorexia y perdida de peso|sindrome de impregnacion|emaciacion;El 'Síndrome Constitucional' no existe como entidad codificable de alto peso (se diluye en síntomas). Desglose y documente: 'Pérdida de peso anormal', 'Caquexia' o 'Desnutrición [leve/moderada/severa]' para elevar el peso del episodio.;[Desnutrición severa / Caquexia / Pérdida de peso anormal].;TRUE
Diagnostico;problematica social|problema social|vive solo|sin red de apoyo|abandono social|incapacidad para autocuidado|anciano fragil|riesgo social;Los códigos Z de factores sociales no suben la severidad clínica, pero JUSTIFICAN estancias prolongadas ante Gerencia. Especifique: 'Vivir solo', 'Falta de apoyo familiar' o 'Incapacidad para el autocuidado'.;Problema social relacionado con [Vivir solo / Falta de apoyo familiar en el hogar / Incapacidad para autocuidado básico].;TRUE
Diagnostico;litiasis biliar|colelitiasis|coledocolitiasis|piedras en la vesicula|barro biliar|calculo biliar;Diferencie colelitiasis (vesícula) de coledocolitiasis (vía principal). Es crítico documentar si asocian complicaciones agudas: Colecistitis, Colangitis o Pancreatitis.;[Colelitiasis / Coledocolitiasis] [con / sin] [Colecistitis aguda / Colangitis aguda / Obstrucción].;TRUE
Procedimiento;cpre|colangiopancreatografia|colangiografia retrograda|esfinterotomia endoscopica|stent biliar|cpre terapeutica|cpre diagnostica;Procedimiento de alto coste. Especificar siempre la operación raíz realizada durante la endoscopia: ¿Se realizó esfinterotomía, extracción de cálculos o inserción de endoprótesis (stent) para drenaje?;Colangiopancreatografía retrógrada endoscópica (CPRE) con [Esfinterotomía / Extracción de cálculos / Inserción de stent biliar / Fines exclusivamente diagnósticos].;TRUE
Procedimiento;colecistostomia|drenaje biliar|drenaje vesicula;Impacto quirúrgico altísimo. Documente el abordaje percutáneo y que se dejó catéter/dispositivo in situ.;Drenaje percutáneo de vesícula biliar con dispositivo de drenaje tubular.;FALSE
Procedimiento;drenaje absceso|puncion absceso|radiologia intervencionista absceso;Especifique localización anatómica exacta y si se dejó catéter de drenaje para asegurar el código de intervención.;Drenaje percutáneo de absceso en [Hígado / Cavidad Abdominal / Psoas / Retroperitoneo] con dispositivo de drenaje.;TRUE
Procedimiento;vmni|bipap|cpap|ventilacion no invasiva|ventilacion mecanica;Parámetro crítico. Documente obligatoriamente el umbral de duración (más o menos de 96 horas ininterrumpidas).;Asistencia respiratoria no invasiva [menor de 96 horas / mayor de 96 horas] consecutivas.;TRUE
